==> Starting Consul agent...
               Version: '2.0.2'
            Build Date: '2026-07-08 09:22:50 +0000 UTC'
               Node ID: 'd1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6'
             Node name: 'node2'
            Datacenter: 'dc1' (Segment: '<all>')
                Server: true (Bootstrap: false)
           Client Addr: [127.0.0.1] (HTTP: 8510, HTTPS: -1, gRPC: 8512, gRPC-TLS: 8513, DNS: 8610)
          Cluster Addr: 127.0.0.1 (LAN: 8311, WAN: 8312)
     Gossip Encryption: false
      Auto-Encrypt-TLS: false
           ACL Enabled: false
     Reporting Enabled: false
    ACL Default Policy: allow
             HTTPS TLS: Verify Incoming: false, Verify Outgoing: false, Min Version: TLSv1_2
              gRPC TLS: Verify Incoming: false, Min Version: TLSv1_2
      Internal RPC TLS: Verify Incoming: false, Verify Outgoing: false (Verify Hostname: false), Min Version: TLSv1_2

==> Log data will now stream in as it occurs:

2026-08-28T16:46:50.845+0800 [WARN]  agent: bootstrap_expect > 0: expecting 3 servers
2026-08-28T16:46:51.146+0800 [WARN]  agent.auto_config: bootstrap_expect > 0: expecting 3 servers
2026-08-28T16:46:51.153+0800 [INFO]  agent.server.raft: initial configuration: index=136 servers="[{Suffrage:Voter ID:d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 Address:127.0.0.1:8310}]"
2026-08-28T16:46:51.153+0800 [INFO]  agent.server.raft: entering follower state: follower="Node at 127.0.0.1:8310 [Follower]" leader-address= leader-id=
2026-08-28T16:46:51.153+0800 [INFO]  agent.server.serf.wan: serf: EventMemberJoin: node2.dc1 127.0.0.1
2026-08-28T16:46:51.154+0800 [INFO]  agent.server.serf.lan: serf: EventMemberJoin: node2 127.0.0.1
2026-08-28T16:46:51.154+0800 [INFO]  agent.router: Initializing LAN area manager
2026-08-28T16:46:51.154+0800 [INFO]  agent.server: Handled event for server in area: event=member-join server=node2.dc1 area=wan
2026-08-28T16:46:51.154+0800 [INFO]  agent.server.autopilot: reconciliation now disabled
2026-08-28T16:46:51.155+0800 [INFO]  agent.server: Adding LAN server: server="node2 (Addr: tcp/127.0.0.1:8310) (DC: dc1)"
2026-08-28T16:46:51.155+0800 [INFO]  agent.server: Raft data found, disabling bootstrap mode
2026-08-28T16:46:51.156+0800 [INFO]  agent.server.cert-manager: initialized server certificate management
2026-08-28T16:46:51.156+0800 [INFO]  agent: Started DNS server: address=127.0.0.1:8610 network=tcp
2026-08-28T16:46:51.157+0800 [INFO]  agent: Started DNS server: address=127.0.0.1:8610 network=udp
2026-08-28T16:46:51.158+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/internal/v1/tombstone
2026-08-28T16:46:51.158+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v1/recordlabel
2026-08-28T16:46:51.158+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v1/concept
2026-08-28T16:46:51.158+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v2/artist
2026-08-28T16:46:51.158+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v2/album
