==> Starting Consul agent...
               Version: '2.0.2'
            Build Date: '2026-07-08 09:22:50 +0000 UTC'
               Node ID: '4c58e505-e902-3d6c-0f52-0e69470dd053'
             Node name: 'node3'
            Datacenter: 'dc1' (Segment: '<all>')
                Server: true (Bootstrap: false)
           Client Addr: [127.0.0.1] (HTTP: 8520, HTTPS: -1, gRPC: 8522, gRPC-TLS: 8523, DNS: 8620)
          Cluster Addr: 127.0.0.1 (LAN: 8321, WAN: 8322)
     Gossip Encryption: false
      Auto-Encrypt-TLS: false
           ACL Enabled: false
     Reporting Enabled: false
    ACL Default Policy: allow
             HTTPS TLS: Verify Incoming: false, Verify Outgoing: false, Min Version: TLSv1_2
              gRPC TLS: Verify Incoming: false, Min Version: TLSv1_2
      Internal RPC TLS: Verify Incoming: false, Verify Outgoing: false (Verify Hostname: false), Min Version: TLSv1_2

==> Log data will now stream in as it occurs:

2026-08-28T16:46:50.866+0800 [WARN]  agent: bootstrap_expect > 0: expecting 3 servers
2026-08-28T16:46:51.146+0800 [WARN]  agent.auto_config: bootstrap_expect > 0: expecting 3 servers
2026-08-28T16:46:51.152+0800 [INFO]  agent.server.raft: initial configuration: index=136 servers="[{Suffrage:Voter ID:d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 Address:127.0.0.1:8310}]"
2026-08-28T16:46:51.152+0800 [INFO]  agent.server.raft: entering follower state: follower="Node at 127.0.0.1:8320 [Follower]" leader-address= leader-id=
2026-08-28T16:46:51.153+0800 [INFO]  agent.server.serf.wan: serf: EventMemberJoin: node3.dc1 127.0.0.1
2026-08-28T16:46:51.154+0800 [INFO]  agent.server.serf.lan: serf: EventMemberJoin: node3 127.0.0.1
2026-08-28T16:46:51.154+0800 [INFO]  agent.router: Initializing LAN area manager
2026-08-28T16:46:51.154+0800 [INFO]  agent.server: Adding LAN server: server="node3 (Addr: tcp/127.0.0.1:8320) (DC: dc1)"
2026-08-28T16:46:51.154+0800 [INFO]  agent.server.autopilot: reconciliation now disabled
2026-08-28T16:46:51.154+0800 [INFO]  agent.server: Handled event for server in area: event=member-join server=node3.dc1 area=wan
2026-08-28T16:46:51.154+0800 [INFO]  agent.server: Raft data found, disabling bootstrap mode
2026-08-28T16:46:51.155+0800 [INFO]  agent.server.cert-manager: initialized server certificate management
2026-08-28T16:46:51.156+0800 [INFO]  agent: Started DNS server: address=127.0.0.1:8620 network=udp
2026-08-28T16:46:51.156+0800 [INFO]  agent: Started DNS server: address=127.0.0.1:8620 network=tcp
2026-08-28T16:46:51.156+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v1/artist
2026-08-28T16:46:51.157+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v1/album
2026-08-28T16:46:51.157+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v1/concept
2026-08-28T16:46:51.157+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/multicluster/v2/namespaceexportedservices
2026-08-28T16:46:51.157+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/multicluster/v2/partitionexportedservices
2026-08-28T16:46:51.157+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v1/recordlabel
2026-08-28T16:46:51.157+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v2/artist
2026-08-28T16:46:51.157+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v2/album
2026-08-28T16:46:51.157+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v2/festival
2026-08-28T16:46:51.157+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/multicluster/v2/exportedservices
2026-08-28T16:46:51.158+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/multicluster/v2/computedexportedservices
2026-08-28T16:46:51.158+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/internal/v1/tombstone
2026-08-28T16:46:51.158+0800 [INFO]  agent.http: Registered resource endpoint: endpoint=/api/demo/v1/executive
2026-08-28T16:46:51.158+0800 [INFO]  agent: Starting server: address=127.0.0.1:8520 network=tcp protocol=http
2026-08-28T16:46:51.158+0800 [INFO]  agent: Started gRPC listeners: port_name=grpc address=127.0.0.1:8522 network=tcp
2026-08-28T16:46:51.159+0800 [INFO]  agent: Started gRPC listeners: port_name=grpc_tls address=127.0.0.1:8523 network=tcp
2026-08-28T16:46:51.159+0800 [INFO]  agent: started state syncer
2026-08-28T16:46:51.159+0800 [INFO]  agent: Consul agent running!
2026-08-28T16:46:51.159+0800 [INFO]  agent: Retry join is supported for the following discovery methods: cluster=LAN discovery_methods="aliyun aws azure digitalocean gce k8s linode mdns os packet scaleway softlayer tencentcloud triton vsphere"
2026-08-28T16:46:51.159+0800 [INFO]  agent: Joining cluster...: cluster=LAN
2026-08-28T16:46:51.159+0800 [INFO]  agent: (LAN) joining: lan_addresses=["127.0.0.1:8301", "127.0.0.1:8311", "127.0.0.1:8321"]
2026-08-28T16:46:51.160+0800 [INFO]  agent.server.serf.lan: serf: EventMemberJoin: node1 127.0.0.1
2026-08-28T16:46:51.160+0800 [INFO]  agent.server: Adding LAN server: server="node1 (Addr: tcp/127.0.0.1:8300) (DC: dc1)"
2026-08-28T16:46:51.161+0800 [INFO]  agent.server.serf.wan: serf: EventMemberJoin: dc2-server.dc2 127.0.0.1
2026-08-28T16:46:51.162+0800 [INFO]  agent.server.serf.lan: serf: EventMemberJoin: node2 127.0.0.1
2026-08-28T16:46:51.162+0800 [INFO]  agent.server: Handled event for server in area: event=member-join server=dc2-server.dc2 area=wan
2026-08-28T16:46:51.162+0800 [INFO]  agent.server: Adding LAN server: server="node2 (Addr: tcp/127.0.0.1:8310) (DC: dc1)"
2026-08-28T16:46:51.162+0800 [INFO]  agent.server.serf.wan: serf: EventMemberJoin: node1.dc1 127.0.0.1
2026-08-28T16:46:51.163+0800 [INFO]  agent.server: Handled event for server in area: event=member-join server=node1.dc1 area=wan
2026-08-28T16:46:51.163+0800 [INFO]  agent: (LAN) joined: number_of_nodes=3
2026-08-28T16:46:51.164+0800 [INFO]  agent: Join cluster completed. Synced with initial agents: cluster=LAN num_agents=3
2026-08-28T16:46:51.163+0800 [INFO]  agent.server.serf.wan: serf: EventMemberJoin: node2.dc1 127.0.0.1
2026-08-28T16:46:51.164+0800 [INFO]  agent.server: Handled event for server in area: event=member-join server=node2.dc1 area=wan
2026-08-28T16:46:58.767+0800 [WARN]  agent.server.raft: heartbeat timeout reached, not part of a stable configuration or a non-voter, not triggering a leader election
2026-08-28T16:46:58.801+0800 [WARN]  agent.server.raft: failed to get previous log: previous-index=141 last-index=136 error="log not found"
2026-08-28T16:46:58.955+0800 [INFO]  agent.server: New leader elected: payload=node2
2026-08-28T16:47:01.730+0800 [INFO]  agent: Synced node info
2026-08-28T16:48:06.154+0800 [INFO]  agent.server.memberlist.wan: memberlist: Suspect dc2-server.dc2 has failed, no acks received
2026-08-28T16:48:26.153+0800 [INFO]  agent.server.memberlist.wan: memberlist: Suspect dc2-server.dc2 has failed, no acks received
2026-08-28T16:48:32.915+0800 [INFO]  agent.server.serf.wan: serf: EventMemberUpdate: dc2-server.dc2
2026-08-28T16:48:32.915+0800 [INFO]  agent.server: Handled event for server in area: event=member-update server=dc2-server.dc2 area=wan
2026-08-28T16:57:17.654+0800 [INFO]  agent.server.serf.wan: serf: EventMemberLeave: node1.dc1 127.0.0.1
2026-08-28T16:57:17.654+0800 [INFO]  agent.server: Handled event for server in area: event=member-leave server=node1.dc1 area=wan
2026-08-28T16:57:21.554+0800 [INFO]  agent.server.serf.lan: serf: EventMemberLeave: node1 127.0.0.1
2026-08-28T16:57:21.554+0800 [INFO]  agent.server: Removing LAN server: server="node1 (Addr: tcp/127.0.0.1:8300) (DC: dc1)"
2026-08-28T16:57:29.963+0800 [INFO]  agent.server.raft: entering candidate state: node="Node at 127.0.0.1:8320 [Candidate]" term=6
2026-08-28T16:57:29.967+0800 [INFO]  agent.server.raft: election won: term=6 tally=2
2026-08-28T16:57:29.967+0800 [INFO]  agent.server.raft: entering leader state: leader="Node at 127.0.0.1:8320 [Leader]"
2026-08-28T16:57:29.967+0800 [INFO]  agent.server.raft: added peer, starting replication: peer=d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6
2026-08-28T16:57:29.967+0800 [INFO]  agent.server: cluster leadership acquired
2026-08-28T16:57:29.967+0800 [INFO]  agent.server: New leader elected: payload=node3
2026-08-28T16:57:29.968+0800 [INFO]  agent.server.raft: pipelining replication: peer="{Voter d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 127.0.0.1:8310}"
2026-08-28T16:57:29.972+0800 [INFO]  agent.server.autopilot: reconciliation now enabled
2026-08-28T16:57:29.972+0800 [INFO]  agent.leader: started routine: routine="federation state anti-entropy"
2026-08-28T16:57:29.972+0800 [INFO]  agent.leader: started routine: routine="federation state pruning"
2026-08-28T16:57:29.972+0800 [INFO]  agent.leader: started routine: routine="streaming peering resources"
2026-08-28T16:57:29.973+0800 [INFO]  agent.leader: started routine: routine="metrics for streaming peering resources"
2026-08-28T16:57:29.973+0800 [INFO]  agent.leader: started routine: routine="peering deferred deletion"
2026-08-28T16:57:29.973+0800 [INFO]  connect.ca: initialized primary datacenter CA from existing CARoot with provider: provider=consul
2026-08-28T16:57:29.973+0800 [INFO]  agent.leader: started routine: routine="intermediate cert renew watch"
2026-08-28T16:57:29.973+0800 [INFO]  agent.leader: started routine: routine="CA root pruning"
2026-08-28T16:57:29.973+0800 [INFO]  agent.leader: started routine: routine="CA root expiration metric"
2026-08-28T16:57:29.973+0800 [INFO]  agent.leader: started routine: routine="CA signing expiration metric"
2026-08-28T16:57:29.973+0800 [INFO]  agent.leader: started routine: routine="virtual IP version check"
2026-08-28T16:57:29.974+0800 [INFO]  agent.leader: started routine: routine="config entry controllers"
2026-08-28T16:57:29.974+0800 [INFO]  agent.leader: stopping routine: routine="virtual IP version check"
2026-08-28T16:57:29.974+0800 [INFO]  agent.leader: stopped routine: routine="virtual IP version check"
2026-08-28T16:57:31.154+0800 [INFO]  agent.server.serf.wan: serf: EventMemberLeave: node2.dc1 127.0.0.1
2026-08-28T16:57:31.154+0800 [INFO]  agent.server: Handled event for server in area: event=member-leave server=node2.dc1 area=wan
2026-08-28T16:57:34.754+0800 [INFO]  agent.server.serf.lan: serf: EventMemberLeave: node2 127.0.0.1
2026-08-28T16:57:34.755+0800 [INFO]  agent.server: Removing LAN server: server="node2 (Addr: tcp/127.0.0.1:8310) (DC: dc1)"
2026-08-28T16:57:34.755+0800 [INFO]  agent.server.raft: updating configuration: command=RemoveServer server-id=d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 server-addr= servers="[{Suffrage:Voter ID:4c58e505-e902-3d6c-0f52-0e69470dd053 Address:127.0.0.1:8320}]"
2026-08-28T16:57:34.756+0800 [INFO]  agent.server.raft: removed peer, stopping replication: peer=d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 last-index=239
2026-08-28T16:57:34.756+0800 [INFO]  agent.server.autopilot: removed server: id=d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6
2026-08-28T16:57:34.756+0800 [INFO]  agent.server: deregistering member: member=node2 partition=default reason=left
2026-08-28T16:57:34.757+0800 [INFO]  agent.server.raft: aborting pipeline replication: peer="{Voter d1ef9731-91d0-aff3-4e5f-f3ce2ddd01b6 127.0.0.1:8310}"
2026-08-28T16:57:43.423+0800 [ERROR] agent.server.raft: failed to decode incoming command: error="read tcp 127.0.0.1:8320->127.0.0.1:49192: wsarecv: An existing connection was forcibly closed by the remote host."
2026-08-28T16:57:43.558+0800 [INFO]  agent.server: server starting leave
2026-08-28T16:57:45.153+0800 [INFO]  agent.server.serf.wan: serf: EventMemberLeave: node3.dc1 127.0.0.1
2026-08-28T16:57:45.163+0800 [INFO]  agent.server: Handled event for server in area: event=member-leave server=node3.dc1 area=wan
2026-08-28T16:57:45.163+0800 [INFO]  agent.router.manager: shutting down
